"RecordType","Survey","Quarter","Country","Ship","Gear","SweepLngt","GearEx","DoorType","StNo","HaulNo","Year","Month","Day","TimeShot","DepthStratum","HaulDur","DayNight","ShootLat","ShootLong","HaulLat","HaulLong","StatRec","Depth","HaulVal","HydroStNo","StdSpecRecCode","BySpecRecCode","DataType","Netopening","Rigging","Tickler","Distance","Warplngt","Warpdia","WarpDen","DoorSurface","DoorWgt","DoorSpread","WingSpread","Buoyancy","KiteDim","WgtGroundRope","TowDir","GroundSpeed","SpeedWater","SurCurDir","SurCurSpeed","BotCurDir","BotCurSpeed","WindDir","WindSpeed","SwellDir","SwellHeight","SurTemp","BotTemp","SurSal","BotSal","ThermoCline","ThClineDepth","CodendMesh","SecchiDepth","Turbidity","TidePhase","TideSpeed","PelSampType","MinTrawlDepth","MaxTrawlDepth","DateofCalculation"
"HH","NS-IBTS",3,"SE","26D4","GOV",60,"S",NA,35,18,2012,8,15,818,NA,30,"D",57.9987,10.6885,57.9713,10.7135,"44G0",180,"V","34",1,1,"C",4.6,NA,NA,3408,660,NA,NA,6.5,1050,76,-9,168,0.7,811,148,3.7,-9,NA,-9,NA,-9,70,4,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"GB-SCT","748S","GOV",60,"B","P",361,46,2012,8,2,2029,NA,30,"D",57.866,-3.037,57.8658,-3.0923,"44E6",80,"V","74SC0302",1,1,"C",3.7,NA,NA,3231,280,28,NA,4.5,1100,81,20,186,0.7,NA,270,3.5,3.5,65,0.1,NA,-9,270,5,270,0.3,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"GB-SCT","748S","GOV",60,"B","P",362,47,2012,8,3,537,NA,30,"D",58.1772,-3.0775,58.1582,-3.1178,"45E6",60,"V","74SC0303",1,1,"C",5,NA,NA,3188,210,28,NA,4.5,1100,68,16,186,0.7,NA,225,3.4,3.4,147,0.1,NA,-9,270,3,270,0.1,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"GB-SCT","748S","GOV",60,"B","P",363,48,2012,8,3,838,NA,30,"D",58.2157,-2.5045,58.2162,-2.4483,"45E7",55,"V","74SC0304",1,1,"C",4.9,NA,NA,3258,200,28,NA,4.5,1100,66,16,186,0.7,NA,88,3.5,3.5,7,0.1,NA,-9,270,3,270,0.1,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"GB-SCT","748S","GOV",60,"B","P",364,49,2012,8,3,1133,NA,30,"D",58.5252,-2.429,58.5503,-2.4582,"46E7",75,"V","74SC0305",1,1,"C",4.9,NA,NA,3287,260,28,NA,4.5,1100,68,16,186,0.7,NA,333,3.6,3.6,180,0.1,NA,-9,270,3,270,0.1,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"GB-SCT","748S","GOV",60,"B","P",365,50,2012,8,3,1459,NA,16,"D",58.4568,-1.7555,58.4717,-1.7652,"45E8",107,"V","74SC0306",1,1,"C",3.6,NA,NA,1721,360,28,NA,4.5,1100,85,20,186,0.7,NA,344,3.5,3.5,270,0.2,NA,-9,270,3,270,0.1,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"GB-SCT","748S","GOV",60,"B","P",366,51,2012,8,3,1819,NA,30,"D",58.9142,-1.8488,58.9395,-1.8772,"46E8",90,"V","74SC0307",1,1,"C",4.2,NA,NA,3251,300,28,NA,4.5,1100,77,19,186,0.7,NA,330,3.5,3.5,121,0.2,NA,-9,45,0,5,0.2,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"GB-SCT","748S","GOV",60,"B","P",367,52,2012,8,4,531,NA,20,"D",58.8418,-3.801,58.86,-3.8158,"46E6",100,"V","74SC0308",1,1,"C",4.2,NA,NA,2191,330,28,NA,4.5,1100,81,19,186,0.7,NA,343,3.5,3.5,90,0.1,NA,-9,45,3,45,0.1,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"GB-SCT","748S","GOV",60,"B","P",368,53,2012,8,4,918,NA,30,"D",59.2487,-3.4878,59.277,-3.4755,"47E6",102,"V","74SC0309",1,1,"C",4,NA,NA,3216,330,28,NA,4.5,1100,83,20,186,0.7,NA,330,3.5,3.5,110,0.1,NA,-9,45,8,45,0.3,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
"HH","NS-IBTS",3,"GB-SCT","748S","GOV",60,"B","P",369,54,2012,8,4,1222,NA,30,"D",59.5377,-3.8238,59.5647,-3.8478,"48E6",163,"V","74SC0310",1,1,"C",-9,NA,NA,3312,520,28,NA,4.5,1100,96,22,186,0.7,NA,338,3.6,3.6,279,0.3,NA,-9,45,8,45,0.3,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170110
